French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
